batch_size,prompt_type,prompt_length,total_output_tokens,batch_time,avg_token_latency,avg_throughput,gpu_name,gpu_mem_used_MB,gpu_mem_total_MB,gpu_util_percent
1,moderate,short,316.0,5.262661194346179,0.0159435051367018,63.306317492482805,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,334.0,5.3169694876100575,0.0156534587047349,68.49589816237737,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,352.0,5.263661109943272,0.014431310948586,68.92485889314527,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,370.0,5.713765036515694,0.015338568198304,68.08387834733873,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,388.0,6.038184081574512,0.0153766279329191,71.65210520740723,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,406.0,6.264136682710347,0.014640140398265,69.88938577295058,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,424.0,6.579218872846535,0.014879984015981,60.54806506902409,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,442.0,6.656884352103945,0.0150851120155553,66.31482040237894,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,460.0,7.0622302030918,0.0154685797144392,69.86327777589892,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,479.0,7.494981344211435,0.0147793948493612,69.90140241445307,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,497.0,6.73038563127399,0.0136448327542606,81.78724899819433,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,515.0,7.001464029952612,0.0135431132036144,70.06215499022387,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,533.0,6.9963258549411504,0.0139927941822292,69.16985623197887,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,551.0,6.527250331963678,0.0129067213674114,73.6168466919555,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,569.0,7.22070977000845,0.0126972068021584,73.90451281419038,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,587.0,9.179036896314914,0.0139197588586601,73.55029155336629,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,605.0,6.595257613624765,0.0114971616079149,73.37711694250942,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,623.0,8.061578902442395,0.0120260457344418,77.07486235016742,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
8,simple,short,163.0,2.370537042617798,0.0145431720405999,68.76079009505717,NVIDIA GeForce RTX 3060 Ti,6710.0,8192,94.0
8,simple,short,395.0,5.461585998535156,0.0138267999962915,72.32331416294504,NVIDIA GeForce RTX 3060 Ti,6710.0,8192,94.0
8,simple,short,898.0,12.20719075202942,0.0135937536214136,73.56319879335952,NVIDIA GeForce RTX 3060 Ti,6702.0,8192,94.0
8,simple,short,163.0,2.37729287147522,0.0145846188434062,68.56538458336898,NVIDIA GeForce RTX 3060 Ti,6669.0,8192,91.0
8,simple,short,592.0,8.102132320404053,0.0136860343250068,73.0671848581309,NVIDIA GeForce RTX 3060 Ti,6669.0,8192,92.0
8,simple,short,326.0,4.558066368103027,0.0139817986751626,71.52155621983066,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,91.0
8,simple,short,369.0,5.109581232070923,0.0138471036099483,72.21726854716108,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,94.0
8,simple,short,406.0,5.652088165283203,0.0139213994218798,71.83185897448877,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,94.0
8,simple,short,297.0,4.156067132949829,0.0139934920301341,71.46179079864861,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,91.0
8,simple,short,296.0,4.126561880111694,0.0139410874328097,71.73041592483962,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,92.0
8,simple,short,485.0,6.662102460861206,0.0137362937337344,72.79984101855202,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,93.0
8,simple,short,544.0,7.453119039535522,0.0137005864697344,72.98957619143327,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,92.0
8,simple,short,862.0,11.687183141708374,0.0135582171017498,73.75601028478425,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,94.0
8,simple,short,625.0,8.517712593078613,0.0136283401489257,73.37650726884905,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,94.0
8,simple,short,280.0,3.939560413360596,0.0140698586191449,71.07391958006535,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,95.0
8,simple,short,570.0,7.788616895675659,0.013664240167852,73.1837253821627,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,93.0
8,simple,short,979.0,13.261062145233154,0.0135455180237315,73.82515738770692,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,94.0
8,simple,short,1117.0,15.068022966384888,0.0134897251265755,74.13049492238663,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,94.0
8,simple,short,722.0,9.838513135910034,0.0136267494957202,73.38507252327992,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,94.0
8,simple,short,508.0,6.97701096534729,0.0137342735538332,72.81054917687285,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,94.0
8,simple,short,565.0,7.942509174346924,0.0140575383616759,71.13620993034073,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,0.0
8,simple,short,424.0,5.838166952133179,0.0137692616795593,72.62553528810558,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,93.0
8,simple,short,465.0,6.421513319015503,0.0138097060623989,72.4128374261926,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,94.0
